repo,file,function
data/raw/repos\official\common,distribute_utils.py,def _collective_communication(all_reduce_alg):
data/raw/repos\official\common,distribute_utils.py,"def _mirrored_cross_device_ops(all_reduce_alg, num_packs):"
data/raw/repos\official\common,distribute_utils.py,def tpu_initialize(tpu_address):
data/raw/repos\official\common,distribute_utils.py,"def configure_cluster(worker_hosts=None, task_index=-1):"
data/raw/repos\official\common,distribute_utils.py,def get_strategy_scope(strategy):
data/raw/repos\official\common,distribute_utils.py,def __enter__(self):
data/raw/repos\official\common,distribute_utils.py,"def __exit__(self, *args):"
data/raw/repos\official\common,distribute_utils_test.py,def test_invalid_args(self):
data/raw/repos\official\common,distribute_utils_test.py,def test_one_device_strategy_cpu(self):
data/raw/repos\official\common,distribute_utils_test.py,def test_one_device_strategy_gpu(self):
data/raw/repos\official\common,distribute_utils_test.py,def test_mirrored_strategy(self):
data/raw/repos\official\common,distribute_utils_test.py,def test_mwms(self):
data/raw/repos\official\common,distribute_utils_test.py,def test_no_strategy(self):
data/raw/repos\official\common,distribute_utils_test.py,def test_tpu_strategy(self):
data/raw/repos\official\common,distribute_utils_test.py,def test_invalid_strategy(self):
data/raw/repos\official\common,distribute_utils_test.py,def test_get_strategy_scope(self):
data/raw/repos\official\common,flags.py,def define_flags():
data/raw/repos\official\core,actions.py,"def __call__(self, output: orbit.runner.Output):"
data/raw/repos\official\core,actions.py,"def __call__(self, output: orbit.runner.Output):"
data/raw/repos\official\core,actions.py,"def __init__(self, checkpoint_manager: tf.train.CheckpointManager):"
data/raw/repos\official\core,actions.py,"def __call__(self, _):"
data/raw/repos\official\core,actions.py,"def __call__(self, outputs: orbit.runner.Output):"
data/raw/repos\official\core,actions_test.py,def __init__(self):
data/raw/repos\official\core,actions_test.py,"def call(self, x, training=None):"
data/raw/repos\official\core,actions_test.py,"def test_ema_checkpointing(self, distribution):"
data/raw/repos\official\core,actions_test.py,"def test_recovery_condition(self, distribution):"
data/raw/repos\official\core,actions_test.py,"def test_pruning(self, distribution):"
data/raw/repos\official\core,base_task.py,def task_config(self):
data/raw/repos\official\core,base_task.py,"def initialize(self, model: tf_keras.Model):"
data/raw/repos\official\core,base_task.py,"def build_metrics(self, training: bool = True):"
data/raw/repos\official\core,base_task.py,"def process_metrics(self, metrics, labels, model_outputs, **kwargs):"
data/raw/repos\official\core,base_task.py,"def process_compiled_metrics(self, compiled_metrics, labels, model_outputs):"
data/raw/repos\official\core,base_task.py,"def validation_step(self, inputs, model: tf_keras.Model, metrics=None):"
data/raw/repos\official\core,base_task.py,"def inference_step(self, inputs, model: tf_keras.Model):"
data/raw/repos\official\core,base_task.py,"def aggregate_logs(self, state, step_logs):"
data/raw/repos\official\core,base_trainer.py,def init_async(self):
data/raw/repos\official\core,base_trainer.py,def join(self):
data/raw/repos\official\core,base_trainer.py,def create_train_loop_fn(self):
data/raw/repos\official\core,base_trainer.py,"def _async_loop_fn(iterator, num_steps):"
data/raw/repos\official\core,base_trainer.py,"def create_eval_loop_fn(self, has_state: bool):"
data/raw/repos\official\core,base_trainer.py,"def _async_loop_fn(iterator, num_steps, state=None, reduce_fn=None):"
data/raw/repos\official\core,base_trainer.py,"def distribute_dataset(self, dataset_or_fn, *args, **kwargs):"
data/raw/repos\official\core,base_trainer.py,def get_runtime_options(config: ExperimentConfig):
data/raw/repos\official\core,base_trainer.py,def strategy(self):
data/raw/repos\official\core,base_trainer.py,def config(self):
data/raw/repos\official\core,base_trainer.py,def task(self):
data/raw/repos\official\core,base_trainer.py,def model(self):
data/raw/repos\official\core,base_trainer.py,def optimizer(self):
data/raw/repos\official\core,base_trainer.py,def global_step(self):
data/raw/repos\official\core,base_trainer.py,def train_loss(self):
data/raw/repos\official\core,base_trainer.py,def validation_loss(self):
data/raw/repos\official\core,base_trainer.py,def train_metrics(self):
data/raw/repos\official\core,base_trainer.py,def validation_metrics(self):
data/raw/repos\official\core,base_trainer.py,def initialize(self):
data/raw/repos\official\core,base_trainer.py,def checkpoint(self):
data/raw/repos\official\core,base_trainer.py,def checkpoint_exporter(self):
data/raw/repos\official\core,base_trainer.py,def train_loop_end(self):
data/raw/repos\official\core,base_trainer.py,"def next_train_inputs(self, iterator):"
data/raw/repos\official\core,base_trainer.py,"def train_step(self, iterator):"
data/raw/repos\official\core,base_trainer.py,def step_fn(inputs):
data/raw/repos\official\core,base_trainer.py,def eval_begin(self):
data/raw/repos\official\core,base_trainer.py,"def next_eval_inputs(self, iterator):"
data/raw/repos\official\core,base_trainer.py,"def eval_step(self, iterator):"
data/raw/repos\official\core,base_trainer.py,def step_fn(inputs):
data/raw/repos\official\core,base_trainer.py,"def eval_end(self, aggregated_logs=None):"
data/raw/repos\official\core,base_trainer.py,"def eval_reduce(self, state=None, step_outputs=None):"
data/raw/repos\official\core,base_trainer_test.py,def all_strategy_combinations():
data/raw/repos\official\core,base_trainer_test.py,"def create_in_process_cluster(num_workers, num_ps):"
data/raw/repos\official\core,base_trainer_test.py,def dataset_fn(input_context=None):
data/raw/repos\official\core,base_trainer_test.py,def dummy_data(_):
data/raw/repos\official\core,base_trainer_test.py,def __init__(self):
data/raw/repos\official\core,base_trainer_test.py,def train_loop_begin(self):
data/raw/repos\official\core,base_trainer_test.py,"def train_step(self, iterator):"
data/raw/repos\official\core,base_trainer_test.py,def replica_step(_):
data/raw/repos\official\core,base_trainer_test.py,def train_loop_end(self):
